iteration	time	nReplicationsDone	ConcentrationEnzyme_MethCleaner	ConcentrationEnzyme_AcetFiller	ConcentrationEnzyme_AcetCleaner	ConcentrationEnzyme_AcetGapperInMeth	ConcentrationEnzyme_MethExtendToAcet	ConcentrationEnzyme_AcetExtendToMeth	ConcentrationEnzyme_MethCreatorNN	ConcentrationEnzyme_AcetEliminator	ConcentrationEnzyme_MethGapperInAcet	ConcentrationEnzyme_AcetCreatorNN	ConcentrationEnzyme_MethExtender2	ConcentrationEnzyme_AcetFillerNN	ConcentrationEnzyme_MethExtender	ConcentrationEnzyme_MethReduceToAcet	ConcentrationEnzyme_MethFiller	ConcentrationEnzyme_AcetExtender	ConcentrationEnzyme_AcetCreator	ConcentrationEnzyme_MethFillerNN	ConcentrationEnzyme_AcetReduceToMeth	ConcentrationEnzyme_MethCreator	ConcentrationEnzyme_MethEliminator	ConcentrationEnzyme_AcetExtender2	MethCleaner_boundPos	AcetFiller_boundPos	AcetCleaner_boundPos	AcetGapperInMeth_boundPos	MethExtendToAcet_boundPos	AcetExtendToMeth_boundPos	MethCreatorNN_boundPos	AcetEliminator_boundPos	MethGapperInAcet_boundPos	AcetCreatorNN_boundPos	MethExtender2_boundPos	AcetFillerNN_boundPos	MethExtender_boundPos	MethReduceToAcet_boundPos	MethFiller_boundPos	AcetExtender_boundPos	AcetCreator_boundPos	MethFillerNN_boundPos	AcetReduceToMeth_boundPos	MethCreator_boundPos	MethEliminator_boundPos	AcetExtender2_boundPos	phase
	75	5.254975	1	1	1	1	1	5	1	0	1	1	1	0	2	0	1	0	0	1	1	1	1	1	0		42			6		18				19		23		1	44						40	0
	76	5.257910	1	1	1	1	1	5	1	0	1	1	1	0	2	1	1	0	0	1	1	1	1	1	0		42			6		18				19				1	44						40	0
	77	5.286872	1	1	1	1	1	5	1	0	1	1	1	0	2	1	1	0	0	1	1	1	1	1	1		42			6		18				19				1	44							0
	78	5.294218	1	1	1	1	1	5	1	0	1	1	1	0	2	1	1	1	0	1	1	1	1	1	1		42			6		18				19					44							0
	79	5.301818	1	1	1	1	1	5	1	0	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1		42			6		18				19												0
	80	5.339049	1	1	1	1	1	5	1	0	1	1	1	0	2	1	1	1	1	1	0	1	1	1	1		42			6		18				19							37					0
	81	5.362679	1	1	1	1	1	5	1	1	1	1	1	0	2	1	1	1	1	1	0	1	1	1	1		42			6						19							37					0
	82	5.370133	1	1	1	1	1	5	1	1	1	1	1	0	2	1	1	1	1	1	0	1	1	1	0		42			6						19							37				24	0
	83	5.375885	1	1	1	1	1	5	1	1	1	1	1	0	2	1	1	1	1	1	0	1	1	1	1		42			6						19							37					0
	84	5.385139	1	1	1	1	1	5	1	1	1	1	1	0	2	1	1	1	1	1	0	1	1	1	0		42			6						19							37				39	0
	85	5.451222	1	1	1	1	1	5	1	1	1	1	1	0	2	1	1	1	1	1	0	1	1	1	1		42			6						19							37					0
	86	5.452502	1	1	1	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	0	1	1	1	1		42									19							37					0
	87	5.466829	1	1	0	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	0	1	1	1	1		28,42									19							37					0
	88	5.475097	1	1	0	1	1	6	1	1	1	1	1	0	2	0	1	1	1	1	0	1	1	1	1		28,42									19		33					37					0
	89	5.484496	1	1	0	1	1	6	1	1	1	1	1	0	2	0	1	1	1	1	1	1	1	1	1		28,42									19		33										0
	90	5.538728	1	1	0	1	1	6	1	1	1	1	1	0	2	0	1	1	1	1	1	0	1	1	1		28,42									19		33						7				0
	91	5.551363	1	1	0	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	0	1	1	1		28,42									19								7				0
	92	5.588013	1	1	0	1	1	6	1	1	1	1	1	0	2	1	1	0	1	1	1	0	1	1	1		28,42									19				17				7				0
	93	5.612984	1	1	1	1	1	6	1	1	1	1	1	0	2	1	1	0	1	1	1	0	1	1	1		42									19				17				7				0
	94	5.646330	1	1	2	1	1	6	1	1	1	1	1	0	2	1	1	0	1	1	1	0	1	1	1											19				17				7				0
	95	5.766796	1	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	0	1	1	1											19								7				0
	96	5.840080	1	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	0	1	1	0	1	1	1											19					45			7				0
	97	5.942339	1	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	0	1	1	1											19								7				0
	98	6.005916	1	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											19												0
	99	6.047209	1	1	2	1	1	5	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1					46						19												0
	100	6.123202	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					46																		0
	101	6.129471	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	102	6.159137	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1																			39				0
	103	6.188769	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1					7														39				0
	104	6.195871	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1																			39				0
	105	6.253910	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	0	1	1	1	0	1	1	1															34				39				0
	106	6.302106	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1															34								0
	107	6.323684	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	108	6.330066	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					39																		0
	109	6.420705	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1					39														8				0
	110	6.577407	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					39																		0
	111	6.645530	1	1	2	1	1	5	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1					39						8												0
	112	6.785991	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					39																		0
	113	6.885240	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1					39														24				0
	114	7.115432	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1																			24				0
	115	7.173134	1	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1														16					24				0
	116	7.191468	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1																			24				0
	117	7.193200	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	118	7.220992	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0																						16	0
	119	7.308019	1	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	0											24											16	0
	120	7.403327	1	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											24												0
	121	7.559571	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	122	7.685270	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1																			16				0
	123	7.908769	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	124	8.128529	1	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											16												0
	125	8.150199	1	1	2	1	1	6	1	1	1	1	1	0	2	1	0	1	1	1	1	1	1	1	1											16			46									0
	126	8.219804	1	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														46									0
	127	8.357697	1	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	0	1	1	1														46					29				0
	128	8.386355	1	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														46									0
	129	8.398293	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	130	8.418149	1	1	2	1	1	6	1	1	1	1	1	0	2	1	1	1	1	1	1	1	1	1	1											29												0
	131	8.445265	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	132	8.505727	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					46																		0
	133	8.543717	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	134	9.021609	1	1	2	1	1	6	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1														29									0
	135	9.307172	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1																							0
	136	9.321453	1	1	2	1	1	6	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1																			15				0
	137	9.366391	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1					29														15				0
	138	9.591897	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					29																		0
	139	9.693421	1	1	2	1	1	4	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					15,29																		0
	140	9.861831	1	1	2	1	1	5	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1					15																		0
																										
