iteration	time	nReplicationsDone	ConcentrationEnzyme_AcetGapperInMeth	ConcentrationEnzyme_AcetCreator	ConcentrationEnzyme_MethFiller	ConcentrationEnzyme_AcetCleaner	ConcentrationEnzyme_MethCreator	ConcentrationEnzyme_MethExtender	ConcentrationEnzyme_AcetReduceToMeth	ConcentrationEnzyme_MethReduceToAcet	ConcentrationEnzyme_AcetExtendToMeth	ConcentrationEnzyme_AcetFillerNN	ConcentrationEnzyme_MethCleaner	ConcentrationEnzyme_AcetExtender	ConcentrationEnzyme_MethCreatorNN	ConcentrationEnzyme_AcetEliminator	ConcentrationEnzyme_AcetExtender2	ConcentrationEnzyme_MethFillerNN	ConcentrationEnzyme_MethExtendToAcet	ConcentrationEnzyme_AcetFiller	ConcentrationEnzyme_MethGapperInAcet	ConcentrationEnzyme_AcetCreatorNN	ConcentrationEnzyme_MethEliminator	ConcentrationEnzyme_MethExtender2	AcetGapperInMeth_boundPos	AcetCreator_boundPos	MethFiller_boundPos	AcetCleaner_boundPos	MethCreator_boundPos	MethExtender_boundPos	AcetReduceToMeth_boundPos	MethReduceToAcet_boundPos	AcetExtendToMeth_boundPos	AcetFillerNN_boundPos	MethCleaner_boundPos	AcetExtender_boundPos	MethCreatorNN_boundPos	AcetEliminator_boundPos	AcetExtender2_boundPos	MethFillerNN_boundPos	MethExtendToAcet_boundPos	AcetFiller_boundPos	MethGapperInAcet_boundPos	AcetCreatorNN_boundPos	MethEliminator_boundPos	MethExtender2_boundPos	phase
	53	5.043065	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	6	0	1	1	0	0						100				62,157		140	94		210			50,225			97	105	0
	54	5.072418	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	6	0	1	1	0	0						100				62,157		140			210			50,225			97	105	0
	55	5.086386	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	1	6	0	1	1	0	0										62,157		140			210			50,225			97	105	0
	56	5.094665	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	6	0	1	1	0	0			176							62,157		140			210			50,225			97	105	0
	57	5.094701	1	1	1	0	1	1	0	1	1	1	0	1	0	1	1	0	1	6	0	1	1	0	0			176			187				62,157		140			210			50,225			97	105	0
	58	5.105711	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	6	0	1	1	0	0			176			187				62,157					210			50,225			97	105	0
	59	5.121584	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	6	1	1	1	0	0			176			187				62,157					210			50			97	105	0
	60	5.123706	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	6	1	1	1	0	0			176			187				62					210			50			97	105	0
	61	5.127233	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	6	1	1	1	0	0		201	176			187				62					210			50			97	105	0
	62	5.131732	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	6	0	1	1	0	0		201	176			187				62					210			50,124			97	105	0
	63	5.141174	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	6	0	1	1	0	0		201	176			187				62		207			210			50,124			97	105	0
	64	5.152727	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	6	0	1	1	0	0		201	176			187				62		207						50,124			97	105	0
	65	5.159405	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	0	1	6	0	1	1	0	0		201	176			187				62		207			70			50,124			97	105	0
	66	5.160126	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	6	0	1	1	0	0		201	176		216	187				62		207			70			50,124			97	105	0
	67	5.169631	1	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	6	0	1	1	0	0		201	176		216	187				62		207			70	30		50,124			97	105	0
	68	5.175024	1	1	0	0	1	0	0	1	1	1	1	1	0	1	0	0	0	6	0	1	1	0	0		201	176		216	187				62		207		138	70	30		50,124			97	105	0
	69	5.185921	1	1	0	0	1	0	0	1	1	1	1	1	0	1	0	1	0	6	0	1	1	0	0		201	176		216	187				62		207		138		30		50,124			97	105	0
	70	5.186860	1	1	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	6	0	1	1	0	0		201	176		216	187				62,145		207		138		30		50,124			97	105	0
	71	5.188896	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	6	0	1	1	0	0		201	176		216	187				62,145		207	183	138		30		50,124			97	105	0
	72	5.194605	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	6	0	1	1	0	0		201	176		216	187				62,145		207	183			30		50,124			97	105	0
	73	5.217017	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	6	0	1	1	0	0		201	176		216	187				62,145		207	183		220	30		50,124			97	105	0
	74	5.225261	1	1	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	6	0	1	1	0	1		201	176		216	187				62,145		207	183		220	30		50,124			97		0
	75	5.227061	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	6	0	1	1	0	1		201	176		216	187				62		207	183		220	30		50,124			97		0
	76	5.239862	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	6	0	1	1	0	1		201			216	187				62		207	183		220	30		50,124			97		0
	77	5.242487	1	1	0	1	1	0	0	1	1	1	2	1	0	0	1	0	0	6	0	1	1	0	1		201			216	187						207	183		220	30		50,124			97		0
	78	5.243582	1	1	0	1	1	0	0	1	1	1	2	1	0	0	1	0	0	6	0	1	1	0	0		201			216	187						207	183		220	30		50,124			97	85	0
	79	5.244745	1	1	1	1	1	0	0	1	1	1	2	1	0	0	1	0	0	6	0	1	1	0	0					216	187						207	183		220	30		50,124			97	85	0
	80	5.245006	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	6	0	1	1	0	0					216	187				57		207	183		220	30		50,124			97	85	0
	81	5.265128	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	6	0	1	1	0	0			22		216	187				57		207	183		220	30		50,124			97	85	0
	82	5.299269	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	0	6	0	1	1	0	1			22		216	187				57		207	183		220	30		50,124			97		0
	83	5.308667	1	1	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	6	0	1	1	0	1			22		216	187		37		57		207	183		220	30		50,124			97		0
	84	5.310983	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	0	0	6	0	1	1	0	1			22		216			37		57		207	183		220	30		50,124			97		0
	85	5.330228	1	1	1	0	1	0	1	1	0	1	1	1	0	0	1	1	0	6	0	1	1	0	1			22		216			37		57		207	183			30		50,124			97		0
	86	5.333273	1	1	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	6	0	1	1	0	1			22		216	170		37		57		207	183			30		50,124			97		0
	87	5.336890	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	0	6	0	1	1	0	1			22			170		37		57		207	183			30		50,124			97		0
	88	5.340369	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	1	0	6	1	1	1	0	1			22			170		37		57		207	183			30		50			97		0
	89	5.345879	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	6	1	1	1	0	1			22			170		37		57		207	183		137	30		50			97		0
	90	5.346175	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	6	1	1	1	0	0			22			170		37		57		207	183		137	30		50			97	200	0
	91	5.351681	1	1	1	0	1	1	0	1	0	1	1	1	0	0	1	0	0	6	0	1	1	0	0			22			170		37		57		207	183		137	30		46,50			97	200	0
	92	5.352930	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	0	0	6	0	1	1	0	0			22			170		37		57			183		137	30		46,50			97	200	0
	93	5.353793	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	6	0	1	1	0	0			22		229	170		37		57			183		137	30		46,50			97	200	0
	94	5.366981	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	6	1	1	1	0	0			22		229	170		37		57			183		137	30		46			97	200	0
	95	5.370207	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	0	6	1	1	1	0	0			22		229	170		37		57			183			30		46			97	200	0
	96	5.372991	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	6	1	1	1	0	0			22		229	170				57			183			30		46			97	200	0
	97	5.378021	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	6	1	1	1	0	1			22		229	170				57			183			30		46			97		0
	98	5.380849	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	6	1	1	1	1	1			22		229	170				57			183			30		46					0
	99	5.384768	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	0	6	0	1	1	1	1			22		229	170				57			183			30		40,46					0
	100	5.385791	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	6	0	1	1	1	1			22		229	170				57			183		64	30		40,46					0
	101	5.390914	1	1	1	0	1	0	0	1	1	1	1	1	1	0	1	0	1	6	0	1	1	1	1			22		229	170				57			183		64			40,46					0
	102	5.391396	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	6	0	1	1	1	1			22		229	170				57		138	183		64			40,46					0
	103	5.403086	1	1	1	0	1	0	0	1	1	1	1	1	0	0	1	0	1	6	0	1	1	1	0			22		229	170				57		138	183		64			40,46				217	0
	104	5.411450	1	1	1	0	1	0	0	1	1	1	2	1	0	0	1	0	1	6	0	1	1	1	0			22		229	170						138	183		64			40,46				217	0
	105	5.414467	1	1	1	0	1	0	0	1	1	1	2	1	0	0	1	0	1	5	0	1	1	1	0			22		229	170						138	183		64		37	40,46				217	0
	106	5.417305	1	1	1	0	1	0	0	1	1	1	2	1	0	0	1	0	1	5	1	1	1	1	0			22		229	170						138	183		64		37	46				217	0
	107	5.441882	1	1	1	0	1	0	0	1	1	1	2	1	0	0	1	0	1	6	1	1	1	1	0			22		229	170						138	183		64			46				217	0
	108	5.459966	1	1	1	0	1	0	0	1	1	1	2	1	0	0	1	1	1	6	1	1	1	1	0			22		229	170						138	183					46				217	0
	109	5.473760	1	1	0	0	1	0	0	1	1	1	2	1	0	0	1	1	1	6	1	1	1	1	0		190	22		229	170						138	183					46				217	0
	110	5.480116	1	1	0	0	1	0	0	1	1	1	2	1	0	0	1	0	1	6	1	1	1	1	0		190	22		229	170						138	183		212			46				217	0
	111	5.490998	1	1	1	0	1	0	0	1	1	1	2	1	0	0	1	0	1	6	1	1	1	1	0			22		229	170						138	183		212			46				217	0
	112	5.494233	1	1	1	0	1	0	0	1	1	1	2	1	0	0	1	0	1	6	1	1	0	1	0			22		229	170						138	183		212			46		203		217	0
	113	5.495438	1	1	1	0	1	0	0	1	1	1	2	1	0	0	1	0	1	6	1	1	0	1	1			22		229	170						138	183		212			46		203			0
	114	5.500464	1	1	1	0	1	0	0	1	1	1	2	1	0	0	1	0	1	6	1	1	0	1	0			22		229	170						138	183		212			46		203		93	0
	115	5.512553	1	1	1	0	1	1	0	1	1	1	2	1	0	0	1	0	1	6	1	1	0	1	0			22			170						138	183		212			46		203		93	0
	116	5.518129	1	1	1	0	1	1	0	1	1	1	2	1	0	0	1	0	1	6	2	1	0	1	0			22			170						138	183		212					203		93	0
	117	5.534568	1	1	1	0	1	1	0	0	1	1	2	1	0	0	1	0	1	6	2	1	0	1	0			22			170	159					138	183		212					203		93	0
	118	5.569840	1	1	1	0	1	1	1	0	1	1	2	1	0	0	1	0	1	6	2	1	0	1	0			22				159					138	183		212					203		93	0
	119	5.608804	1	1	1	0	1	1	1	0	1	0	2	1	0	0	1	0	1	6	2	1	0	1	0			22				159		218			138	183		212					203		93	0
	120	5.609830	1	1	1	0	1	1	1	0	1	1	2	1	0	0	1	0	1	6	2	1	0	1	0			22				159					138	183		212					203		93	0
	121	5.622799	1	1	1	0	1	1	1	0	1	1	2	1	0	0	1	0	1	6	2	1	0	1	1			22				159					138	183		212					203			0
